trimestre,segmento,centro_transferencia,menu,opcion,total_llamadas,porcentaje,misma_linea,linea_diferente,no_digito_telefono
Q01_25,Nacional,19020086,cliente_colgo,SIN_OPCION,2507905,21.5387679,223863,469496,1814546
Q01_25,Nacional,10728487,NOTMX-SeguimientoInstalacion,DEFAULT,1107912,9.5151369,1005237,102675,0
Q01_25,Nacional,10828091,RES-FallaInternet,DEFAULT,990455,8.506375,106169,884286,0
Q01_25,Nacional,CLIENTE_COLGO,SIN_MENU,SIN_OPCION,893792,7.6761992,719742,173931,119
Q01_25,Nacional,1309004,RES-SaldooPagos,DEFAULT,480606,4.1276129,113309,367297,0
Q01_25,Nacional,15070013,RES-MADT-Detalle,DEFAULT,470991,4.0450359,90938,380053,0
Q01_25,Nacional,10428174,Desborde_Cabecera,TELVICOBRA,425078,3.650719,61032,364046,0
Q01_25,Nacional,19020086,SinOpcion_Cabecera,SIN_OPCION,362598,3.1141188,0,10733,351865
Q01_25,Nacional,19020086,Desborde_Promocional,SIN_OPCION,337120,2.8953048,212289,124831,0
Q01_25,Nacional,19010000,RES-FallaInternet,DEFAULT,318288,2.733569,34211,284077,0
Q01_25,Nacional,15070059,NOTMX-CONT-Contratacion,DEFAULT,283118,2.4315167,258419,24699,0
Q01_25,Nacional,19020086,Marque3,SIN_OPCION,231828,1.9910202,0,6799,225029
Q01_25,Nacional,15070019,RES-FallasLinea,DEFAULT,224294,1.9263156,29380,194914,0
Q01_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_2,158781,1.3636669,3625,155156,0
Q01_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_DAT_2,148490,1.2752842,5576,142914,0
Q01_25,Nacional,10928253,Desborde_Cabecera,QJA_AB_DAT_1,141886,1.2185667,3025,138861,0
Q01_25,Nacional,10728485,NOTMX-CONT-Portabilidad,DEFAULT,117997,1.0133996,107180,10817,0
Q01_25,Nacional,10928253,RES-FallaSegQja,DEFAULT,113786,0.9772341,14184,99602,0
Q01_25,Nacional,10928299,Desborde_Cabecera,ECATEPEC,111202,0.9550418,23107,88095,0
Q01_25,Nacional,1309004,RES-Saldos-WT,DEFAULT,102778,0.8826935,16799,85979,0
Q01_25,Nacional,10828091,RES-FallaInternet,NOBOT,102754,0.8824874,21435,81319,0
Q01_25,Nacional,10728000,RES-FallaInternet,POSIBLE_FALLA_DSLAM_P,102130,0.8771283,3430,98700,0
Q01_25,Nacional,14928994,Desborde_Cabecera,TELECOBRA,97350,0.836076,9563,87787,0
Q01_25,Nacional,15070004,RES_CambioDom,DEFAULT,87763,0.7537394,6840,80923,0
Q01_25,Nacional,10728382,RES-Entr,DEFAULT,82778,0.7109265,18153,64625,0
Q01_25,Nacional,10928253,Desborde_Cabecera,QJA_AB_3,82675,0.7100419,2425,80250,0
Q01_25,Nacional,19010000,RES-FallasLinea,DEFAULT,80199,0.6887771,8979,71220,0
Q01_25,Nacional,15070002,RES_Otros,DEFAULT,73637,0.6324204,13352,60285,0
Q01_25,Nacional,10928253,Desborde_Cabecera,QJA_AB_VSI_1,66228,0.5687893,998,65230,0
Q01_25,Nacional,CLIENTE_COLGO,Desborde_Cabecera,QJA_AB_VSI_2,63573,0.5459872,1902,61671,0
Q01_25,Nacional,10728009,RES-AsistenciaTelmexcom,DEFAULT,57273,0.4918806,13759,43514,0
Q01_25,Nacional,19020078,Desborde_Cabecera,ECATEPEC_QJA,43969,0.3776212,1881,42088,0
Q01_25,Nacional,19020033,RES-FallaEntretiene,DEFAULT,39704,0.3409919,8050,31654,0
Q01_25,Nacional,14929014,NOTMX-CONT-Portabilidad,DEFAULT,36572,0.3140932,33478,3094,0
Q01_25,Nacional,19020076,Desborde_Cabecera,ECATEPEC_FM,32918,0.2827113,2216,30702,0
Q01_25,Nacional,10428163,Desborde_Cabecera,MES_1,32592,0.2799115,7385,25207,0
Q01_25,Nacional,11028186,Desborde_Cabecera,VINNETFLIX,31792,0.2730408,3238,28554,0
Q01_25,Nacional,15070012,RES-MADT-Detalle,2L,31573,0.27116,6578,24995,0
Q01_25,Nacional,10728381,RES-FallaEntretiene,DEFAULT,28719,0.2466488,6035,22684,0
Q01_25,Nacional,1309013,RES-FallaInternet,CECOR,28235,0.2424921,3044,25191,0
Q01_25,Nacional,15070013,RES-ContratacionInfinitum,DEFAULT,26370,0.2264748,6694,19676,0
Q01_25,Nacional,CLIENTE_COLGO,RES-MADT-Detalle,DEFAULT,22352,0.1919668,3584,18768,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,POSIBLE_FALLA_DSLAM_P,21700,0.1863672,550,21150,0
Q01_25,Nacional,10428163,Desborde_Cabecera,ADEUDO_1Y2,17552,0.1507427,2954,14598,0
Q01_25,Nacional,15070006,RES-ContratacionInfinitum,DEFAULT,17033,0.1462854,4046,12987,0
Q01_25,Nacional,15070007,RES-FallaInternet,ADEUDO22222,15555,0.1335918,244,15311,0
Q01_25,Nacional,10728381,RES-FallaEntretiene,NOBOT,14884,0.127829,4293,10591,0
Q01_25,Nacional,CLIENTE_COLGO,NOTMX-CONT-Contratacion,DEFAULT,13084,0.11237,11770,1314,0
Q01_25,Nacional,10828144,RES-MADT-Detalle,PQ_389,12728,0.1093125,3052,9676,0
Q01_25,Nacional,15070013,RES-FallaInternet,ADEUDO22222,12213,0.1048895,153,12060,0
Q01_25,Nacional,15070020,Desborde_Cabecera,QJA_AB_VOZ_1,11588,0.0995218,405,11183,0
Q01_25,Nacional,14929021,RES-FallasLinea,ML,9551,0.0820273,34,9517,0
Q01_25,Nacional,10728000,RES-FallaInternet,FM_CFE_P,8852,0.0760241,466,8386,0
Q01_25,Nacional,1309013,RES-FallasLinea,CECOR,8688,0.0746156,864,7824,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallaInternet,ADEUDO22222,8109,0.0696429,106,8003,0
Q01_25,Nacional,15070071,RES_CambioTit,DEFAULT,7868,0.0675731,1165,6703,0
Q01_25,Nacional,10428163,Desborde_Cabecera,MES_2,7152,0.0614239,1088,6064,0
Q01_25,Nacional,10628002,RES_Cambios,DEFAULT,7112,0.0610804,1241,5871,0
Q01_25,Nacional,10728000,RES-FallaInternet,FALLA_AMBAS_P,7058,0.0606166,690,6368,0
Q01_25,Nacional,10928018,Desborde_Cabecera,INCLUENCER,6998,0.0601013,768,6230,0
Q01_25,Nacional,10728000,RES-FallaInternet,FM_ROBO_P,6894,0.0592081,94,6800,0
Q01_25,Nacional,15070012,RES_CambioDom,2L,6625,0.0568978,880,5745,0
Q01_25,Nacional,10928311,Desborde_Cabecera,QJA_ACAPULCO,6572,0.0564426,338,6234,0
Q01_25,Nacional,15070012,RES_Otros,2L,5926,0.0508946,1028,4898,0
Q01_25,Nacional,10228051,RES-FallaInternet,CASE_41,5740,0.0492971,669,5071,0
Q01_25,Nacional,CLIENTE_COLGO,RES-FallasLinea,FM_ROBO_P,5538,0.0475623,29,5509,0
Q01_25,Nacional,15070007,RES-Aparatos,DEFAULT,5522,0.0474249,1407,4115,0
Q01_25,Nacional,10728382,RES-Entr,NOBOT,5015,0.0430706,2215,2800,0
Q01_25,Nacional,10928270,Desborde_Cabecera,ONT_ECANCELA,4783,0.0410781,756,4027,0
Q01_25,Nacional,15070020,Desborde_Cabecera,QJA_AB_VOZ_2,3861,0.0331596,148,3713,0
Q01_25,Nacional,10928031,Desborde_Cabecera,MIGRAFTTH,3651,0.0313561,794,2857,0
Q01_25,Nacional,10828141,RES-FallaInternet,ACUNA,3581,0.0307549,172,3409,0
