segmento,menu,total_llamadas
Puebla,,11592
Puebla,Opción Invalida,185
Puebla,ANI,2181
Puebla,cliente_colgo,12075
Puebla,Desborde_Cabecera,11682
Puebla,Desborde_Promocional,3519
Puebla,KIPSOLCOM,491
Puebla,Marque3,3506
Puebla,MenuSaldosCabecera,2
Puebla,NOTMX-CONT-Contratacion,2472
Puebla,NOTMX-CONT-Portabilidad,753
Puebla,NOTMX-SeguimientoInstalacion,7765
Puebla,NoTMX_SinOp,1016
Puebla,Numero Telmex,16909
Puebla,RES-ContratacionInfinitum_2024,11691
Puebla,RES-ContratacionInfinitum_FM,2786
Puebla,RES-Fallas_2024,10115
Puebla,RES-SaldosPagos_2024,7945
Puebla,RES-SaldosPagos_FM,350
Puebla,RES-SegInst_2024,942
Puebla,RES_FALLA_STOP,9738
Puebla,Saldos1_Pagar,2
Puebla,Saldos3_Otra,108
Puebla,SinOpcion_Cabecera,9346
Puebla,Tmx_SOMO,5302
Nacional,,238049
Nacional,Opción Invalida,77
Nacional,ANI,2887
Nacional,cliente_colgo,444438
Nacional,Desborde_Cabecera,336919
Nacional,Desborde_Promocional,79994
Nacional,KIPSOLCOM,6727
Nacional,Marque3,52788
Nacional,MASI_RepiteBoleta,31792
Nacional,NOTMX-CONT-Contratacion,66999
Nacional,NOTMX-CONT-Portabilidad,27911
Nacional,NOTMX-SeguimientoInstalacion,264883
Nacional,NoTMX_SinOp,40388
Nacional,Numero Telmex,33534
Nacional,RES-Aparatos,2062
Nacional,RES-AsistenciaTelmexcom,13237
Nacional,RES-ClaroDrive,14
Nacional,RES-ContratacionInfinitum,10084
Nacional,RES-ContratacionInfinitum_FM,24424
Nacional,RES-DISH,39
Nacional,RES-Entr,18148
Nacional,RES-Falla-AntivirusMcAfee,584
Nacional,RES-Falla-Dish,178
Nacional,RES-Falla-MVSHUB,28
Nacional,RES-FallaEntretiene,18808
Nacional,RES-FallaInternet,162925
Nacional,RES-FallaSegQja,19035
Nacional,RES-FallasLinea,52638
Nacional,RES-MADT-Detalle,132330
Nacional,RES-MADT-MVSHUB,29
Nacional,RES-SaldooPagos,108867
Nacional,RES-Saldos-WT,16622
Nacional,RES-SaldosPagos_FM,3521
Nacional,RES-SegurosInbursa,40
Nacional,RES-StartGo,31
Nacional,RES-TAE,88
Nacional,RES_CambioDom,21421
Nacional,RES_Cambios,1935
Nacional,RES_CambioTit,1972
Nacional,RES_FALLA_STOP,214894
Nacional,RES_OcultaVta,80
Nacional,RES_Otros,18043
Nacional,Saldos1_Pagar,17
Nacional,Saldos3_Otra,208
Nacional,SinOpcion_Cabecera,97513
