segmento_reporte,trimestre,menu,total_llamadas,bloque_identificado,nota
Nacional,Q01_25,CLIENTE_COLGO,2507905,nacional_A,Q01 un solo bloque Nacional (bug G-30 excluia nacional_B)
Nacional,Q01_25,RES-FALLAINTERNET,1650078,nacional_A,
Nacional,Q01_25,DESBORDE_CABECERA,1514344,nacional_A,
Nacional,Q01_25,NOTMX-SEGUIMIENTOINSTALACION,1107914,nacional_A,
Nacional,Q01_25,VACIO,894019,nacional_A,
Nacional,Q01_25,RES-MADT-DETALLE,538633,nacional_A,
Nacional,Q01_25,RES-SALDOOPAGOS,481015,nacional_A,
Nacional,Q01_25,SINOPCION_CABECERA,362598,nacional_A,
Nacional,Q01_25,DESBORDE_PROMOCIONAL,337120,nacional_A,
Nacional,Q01_25,RES-FALLASLINEA,333585,nacional_A,
Nacional,Q01_25,NOTMX-CONT-CONTRATACION,296202,nacional_A,
Nacional,Q01_25,MARQUE3,231828,nacional_A,
Nacional,Q01_25,NOTMX-CONT-PORTABILIDAD,154569,nacional_A,
Nacional,Q01_25,RES-FALLASEGQJA,118325,nacional_A,
Nacional,Q01_25,RES-SALDOS-WT,102885,nacional_A,
Nacional,Q01_25,RES_CAMBIODOM,97518,nacional_A,
Nacional,Q01_25,RES-ENTR,89745,nacional_A,
Nacional,Q01_25,RES-FALLAENTRETIENE,83307,nacional_A,
Nacional,Q01_25,RES_OTROS,82563,nacional_A,
Nacional,Q01_25,RES-ASISTENCIATELMEXCOM,57273,nacional_A,
Nacional,Q01_25,RES-CONTRATACIONINFINITUM,51571,nacional_A,
Nacional,Q01_25,RES-APARATOS,9552,nacional_A,
Nacional,Q01_25,RES_CAMBIOTIT,9426,nacional_A,
Nacional,Q01_25,RES_CAMBIOS,8624,nacional_A,
Nacional,Q01_25,RES-FALLA-ANTIVIRUSMCAFEE,3412,nacional_A,
Nacional,Q01_25,RES-FALLA-DISH,1258,nacional_A,
Nacional,Q01_25,RES_OCULTAVTA,374,nacional_A,
Nacional,Q01_25,RES-TAE,283,nacional_A,
Nacional,Q01_25,RES-DISH,208,nacional_A,
Nacional,Q01_25,RES-FALLA-MVSHUB,205,nacional_A,
Nacional,Q01_25,RES-MADT-MVSHUB,144,nacional_A,
Nacional,Q01_25,RES-SEGUROSINBURSA,143,nacional_A,
Nacional,Q01_25,RES-STARTGO,126,nacional_A,
Nacional,Q01_25,RES-CLARODRIVE,86,nacional_A,
Puebla,Q01_25,CLIENTE_COLGO,117215,puebla,
Puebla,Q01_25,RES-FALLAS_2024,109507,puebla,
Puebla,Q01_25,RES-CONTRATACIONINFINITUM_2024,63613,puebla,
Puebla,Q01_25,NOTMX-SEGUIMIENTOINSTALACION,40515,puebla,
Puebla,Q01_25,RES-SALDOSPAGOS_2024,39401,puebla,
Puebla,Q01_25,VACIO,38744,puebla,
Puebla,Q01_25,DESBORDE_CABECERA,32844,puebla,
Puebla,Q01_25,SINOPCION_CABECERA,18211,puebla,
Puebla,Q01_25,NOTMX-CONT-CONTRATACION,16202,puebla,
Puebla,Q01_25,MARQUE3,13687,puebla,
Puebla,Q01_25,RES-FALLAINTERNET_2024,11847,puebla,
Puebla,Q01_25,NOTMX-CONT-PORTABILIDAD,6381,puebla,
Puebla,Q01_25,RES-SEGINST_2024,5446,puebla,
Puebla,Q01_25,DESBORDE_PROMOCIONAL,3228,puebla,
Nacional,Q02_25,CLIENTE_COLGO,885171,nacional_B,Primer bloque Nacional Q02 = nacional_B (DID 19020001)
Nacional,Q02_25,RES-FALLAINTERNET,578252,nacional_B,
Nacional,Q02_25,DESBORDE_CABECERA,493108,nacional_B,
Nacional,Q02_25,NOTMX-SEGUIMIENTOINSTALACION,391964,nacional_B,
Nacional,Q02_25,VACIO,318279,nacional_B,
Nacional,Q02_25,RES-MADT-DETALLE,176236,nacional_B,
Nacional,Q02_25,RES-SALDOOPAGOS,156144,nacional_B,
Nacional,Q02_25,SINOPCION_CABECERA,125748,nacional_B,
Nacional,Q02_25,DESBORDE_PROMOCIONAL,111868,nacional_B,
Nacional,Q02_25,NOTMX-CONT-CONTRATACION,109677,nacional_B,
Nacional,Q02_25,RES-FALLASLINEA,108851,nacional_B,
Nacional,Q02_25,MARQUE3,78621,nacional_B,
Nacional,Q02_25,NOTMX-CONT-PORTABILIDAD,47553,nacional_B,
Nacional,Q02_25,RES-FALLASEGQJA,43286,nacional_B,
Nacional,Q02_25,RES-SALDOS-WT,34995,nacional_B,
Nacional,Q02_25,RES_CAMBIODOM,31221,nacional_B,
Nacional,Q02_25,RES-ENTR,28533,nacional_B,
Nacional,Q02_25,RES-ASISTENCIATELMEXCOM,27616,nacional_B,
