trimestre,segmento,menu,promedio_llamadas,min_llamadas_x_cliente,max_llamadas_x_cliente,total_llamadas
Q01_25,Nacional,CLIENTE_COLGO,1.82,1,7320,2507905
Q01_25,Nacional,RES-FALLAINTERNET,1.62,1,7274,1650078
Q01_25,Nacional,DESBORDE_CABECERA,2.27,1,4392,1514344
Q01_25,Nacional,NOTMX-SEGUIMIENTOINSTALACION,2.03,1,15869,1107914
Q01_25,Nacional,VACIO,1.42,1,10151,894019
Q01_25,Nacional,RES-MADT-DETALLE,1.56,1,8439,538633
Q01_25,Nacional,RES-SALDOOPAGOS,1.94,1,862,481015
Q01_25,Nacional,SINOPCION_CABECERA,1.24,1,2186,362598
Q01_25,Nacional,DESBORDE_PROMOCIONAL,1.68,1,3663,337120
Q01_25,Nacional,RES-FALLASLINEA,1.36,1,2687,333585
Q01_25,Nacional,NOTMX-CONT-CONTRATACION,1.51,1,6622,296202
Q01_25,Nacional,MARQUE3,1.29,1,3966,231828
Q01_25,Nacional,NOTMX-CONT-PORTABILIDAD,1.41,1,11217,154569
Q01_25,Nacional,RES-FALLASEGQJA,1.3,1,812,118325
Q01_25,Nacional,RES-SALDOS-WT,1.16,1,1326,102885
Q01_25,Nacional,RES_CAMBIODOM,1.91,1,1295,97518
Q01_25,Nacional,RES-ENTR,1.56,1,1626,89745
Q01_25,Nacional,RES-FALLAENTRETIENE,1.53,1,1202,83307
Q01_25,Nacional,RES_OTROS,1.47,1,5576,82563
Q01_25,Nacional,RES-ASISTENCIATELMEXCOM,1.56,1,6789,57273
Q01_25,Nacional,RES-CONTRATACIONINFINITUM,1.36,1,1570,51571
Q01_25,Nacional,RES-APARATOS,1.33,1,223,9552
Q01_25,Nacional,RES_CAMBIOTIT,1.26,1,235,9426
Q01_25,Nacional,RES_CAMBIOS,1.18,1,254,8624
Q01_25,Nacional,RES-FALLA-ANTIVIRUSMCAFEE,1.19,1,58,3412
Q01_25,Nacional,RES-FALLA-DISH,1.63,1,14,1258
Q01_25,Nacional,RES_OCULTAVTA,1.03,1,5,374
Q01_25,Nacional,RES-TAE,1.24,1,12,283
Q01_25,Nacional,RES-DISH,1.15,1,6,208
Q01_25,Nacional,RES-FALLA-MVSHUB,1.12,1,4,205
Q01_25,Nacional,RES-MADT-MVSHUB,1.04,1,3,144
Q01_25,Nacional,RES-SEGUROSINBURSA,1.09,1,4,143
Q01_25,Nacional,RES-STARTGO,1.17,1,4,126
Q01_25,Nacional,RES-CLARODRIVE,1.12,1,5,86
Q01_25,Puebla,CLIENTE_COLGO,1.73,1,322,117215
Q01_25,Puebla,RES-FALLAS_2024,1.67,1,112,109507
Q01_25,Puebla,RES-CONTRATACIONINFINITUM_2024,1.73,1,184,63613
Q01_25,Puebla,NOTMX-SEGUIMIENTOINSTALACION,1.81,1,41,40515
Q01_25,Puebla,RES-SALDOSPAGOS_2024,1.73,1,64,39401
Q01_25,Puebla,VACIO,1.33,1,133,38744
Q01_25,Puebla,DESBORDE_CABECERA,1.87,1,31,32844
Q01_25,Puebla,SINOPCION_CABECERA,1.22,1,14,18211
Q01_25,Puebla,NOTMX-CONT-CONTRATACION,1.58,1,63,16202
Q01_25,Puebla,MARQUE3,1.26,1,26,13687
Q01_25,Puebla,RES-FALLAINTERNET_2024,1.6,1,42,11847
Q01_25,Puebla,NOTMX-CONT-PORTABILIDAD,1.29,1,16,6381
Q01_25,Puebla,RES-SEGINST_2024,1.28,1,13,5446
Q01_25,Puebla,DESBORDE_PROMOCIONAL,1.35,1,20,3228
Q02_25,Nacional,CLIENTE_COLGO,1.75,1,4196,2752431
Q02_25,Nacional,DESBORDE_CABECERA,2.26,1,2532,1882586
Q02_25,Nacional,NOTMX-SEGUIMIENTOINSTALACION,1.97,1,2268,1231529
Q02_25,Nacional,RES-FALLAINTERNET,1.49,1,4925,1126836
Q02_25,Nacional,VACIO,1.44,1,3949,1117580
Q02_25,Nacional,RES_FALLA_STOP,1.7,1,576,802032
Q02_25,Nacional,RES-MADT-DETALLE,1.52,1,4968,529478
Q02_25,Nacional,RES-SALDOOPAGOS,1.64,1,458,438310
Q02_25,Nacional,SINOPCION_CABECERA,1.22,1,383,418662
Q02_25,Nacional,DESBORDE_PROMOCIONAL,1.72,1,3669,381962
Q02_25,Nacional,NOTMX-CONT-CONTRATACION,1.46,1,974,338740
Q02_25,Nacional,RES-FALLASLINEA,1.36,1,1497,287304
Q02_25,Nacional,MARQUE3,1.26,1,1885,258940
Q02_25,Nacional,NOTMX_SINOP,1.34,1,447,186412
Q02_25,Nacional,NOTMX-CONT-PORTABILIDAD,1.32,1,507,145199
Q02_25,Nacional,MASI_REPITEBOLETA,1.18,1,69,106539
Q02_25,Nacional,RES-FALLAENTRETIENE,1.53,1,1067,100274
Q02_25,Nacional,RES-ENTR,1.54,1,1269,98582
Q02_25,Nacional,RES-FALLASEGQJA,1.28,1,424,98261
Q02_25,Nacional,RES-ASISTENCIATELMEXCOM,1.65,1,8015,93848
Q02_25,Nacional,RES-SALDOS-WT,1.15,1,1163,86249
Q02_25,Nacional,RES-CONTRATACIONINFINITUM_FM,1.58,1,55,71062
Q02_25,Nacional,RES_CAMBIODOM,1.71,1,936,70357
Q02_25,Nacional,RES_OTROS,1.38,1,2895,68233
Q02_25,Nacional,RES-CONTRATACIONINFINITUM,1.33,1,977,49587
Q02_25,Nacional,RES-SALDOSPAGOS_FM,1.14,1,10,10301
Q02_25,Nacional,RES-APARATOS,1.36,1,133,9057
Q02_25,Nacional,RES_CAMBIOS,1.16,1,176,8656
Q02_25,Nacional,RES_CAMBIOTIT,1.23,1,131,8233
Q02_25,Nacional,RES-FALLA-ANTIVIRUSMCAFEE,1.19,1,28,3178
Q02_25,Nacional,RES-FALLA-DISH,1.52,1,9,1026
Q02_25,Nacional,RES-TAE,1.44,1,10,345
Q02_25,Nacional,RES_OCULTAVTA,1.02,1,4,340
Q02_25,Nacional,RES-FALLA-MVSHUB,1.17,1,5,211
Q02_25,Nacional,RES-STARTGO,1.36,1,6,178
Q02_25,Nacional,RES-DISH,1.15,1,5,158
Q02_25,Nacional,RES-SEGUROSINBURSA,1.13,1,4,146
Q02_25,Nacional,RES-MADT-MVSHUB,1.02,1,2,136
Q02_25,Nacional,RES-CLARODRIVE,1.07,1,2,72
Q02_25,Puebla,DESBORDE_CABECERA,1.79,1,243,136984
Q02_25,Puebla,CLIENTE_COLGO,1.55,1,278,122636
Q02_25,Puebla,RES-FALLAS_2024,1.46,1,322,87741
Q02_25,Puebla,RES-CONTRATACIONINFINITUM_2024,1.73,1,256,69076
Q02_25,Puebla,RES_FALLA_STOP,1.55,1,37,60916
Q02_25,Puebla,VACIO,1.51,1,77,59455
Q02_25,Puebla,NUMERO TELMEX,1.52,1,168,55123
Q02_25,Puebla,RES-SALDOSPAGOS_2024,1.58,1,87,43610
Q02_25,Puebla,SINOPCION_CABECERA,1.35,1,59,38973
Q02_25,Puebla,NOTMX-SEGUIMIENTOINSTALACION,1.59,1,84,38814
Q02_25,Puebla,TMX_SOMO,1.22,1,129,23731
Q02_25,Puebla,DESBORDE_PROMOCIONAL,1.56,1,204,23633
Q02_25,Puebla,MARQUE3,1.23,1,84,20965
Q02_25,Puebla,NOTMX-CONT-CONTRATACION,1.35,1,42,13632
Q02_25,Puebla,ANI,1.14,1,25,7448
Q02_25,Puebla,RES-CONTRATACIONINFINITUM_FM,1.45,1,17,6461
Q02_25,Puebla,RES-SEGINST_2024,1.28,1,16,5744
Q02_25,Puebla,NOTMX-CONT-PORTABILIDAD,1.28,1,23,4714
Q02_25,Puebla,NOTMX_SINOP,1.22,1,22,4634
Q02_25,Puebla,MASI_REPITEBOLETA,1.17,1,7,4035
Q02_25,Puebla,RES-SALDOSPAGOS_FM,1.12,1,8,1015
Q02_25,Puebla,DEFAULT,1.0,1,1,5
Q03_25,Nacional,CLIENTE_COLGO,1.67,1,5595,1509164
Q03_25,Nacional,DESBORDE_CABECERA,2.54,1,752,1169335
Q03_25,Nacional,NOTMX-SEGUIMIENTOINSTALACION,1.99,1,1940,859797
Q03_25,Nacional,RES_FALLA_STOP,1.61,1,461,769015
Q03_25,Nacional,VACIO,1.47,1,3317,767918
Q03_25,Nacional,RES-FALLAINTERNET,1.56,1,4367,517926
Q03_25,Nacional,RES-MADT-DETALLE,1.6,1,4573,404483
Q03_25,Nacional,SINOPCION_CABECERA,1.28,1,331,326376
Q03_25,Nacional,RES-SALDOOPAGOS,1.82,1,494,319869
Q03_25,Nacional,DESBORDE_PROMOCIONAL,1.72,1,3074,263180
Q03_25,Nacional,NOTMX-CONT-CONTRATACION,1.47,1,806,223169
Q03_25,Nacional,RES-FALLASLINEA,1.44,1,1343,174970
Q03_25,Nacional,MARQUE3,1.27,1,1633,174654
Q03_25,Nacional,NOTMX_SINOP,1.38,1,361,134008
Q03_25,Nacional,MASI_REPITEBOLETA,1.19,1,67,101044
Q03_25,Nacional,NOTMX-CONT-PORTABILIDAD,1.33,1,439,94240
Q03_25,Nacional,RES-CONTRATACIONINFINITUM_FM,1.6,1,41,76477
Q03_25,Nacional,RES-FALLAENTRETIENE,1.43,1,564,61496
Q03_25,Nacional,RES_CAMBIODOM,1.87,1,707,59202
Q03_25,Nacional,RES-ENTR,1.42,1,587,58994
Q03_25,Nacional,RES-FALLASEGQJA,1.29,1,381,57955
Q03_25,Nacional,RES_OTROS,1.43,1,2939,52735
Q03_25,Nacional,NUMERO TELMEX,1.21,1,61,50854
Q03_25,Nacional,RES-SALDOS-WT,1.17,1,855,50796
Q03_25,Nacional,RES-ASISTENCIATELMEXCOM,1.58,1,5732,47285
Q03_25,Nacional,RES-CONTRATACIONINFINITUM,1.3,1,702,31673
Q03_25,Nacional,KIPSOLCOM,1.38,1,17,28497
Q03_25,Nacional,RES-SALDOSPAGOS_FM,1.17,1,22,11039
Q03_25,Nacional,RES-APARATOS,1.35,1,114,6423
Q03_25,Nacional,RES_CAMBIOS,1.15,1,175,6159
Q03_25,Nacional,RES_CAMBIOTIT,1.24,1,107,6031
Q03_25,Nacional,ANI,1.16,1,84,4061
Q03_25,Nacional,RES-FALLA-ANTIVIRUSMCAFEE,1.21,1,46,2015
Q03_25,Nacional,RES-FALLA-DISH,1.47,1,8,571
