trimestre,longitud_vdn,numero_enrutamiento,total_llamadas,porcentaje_q1,menus_distintos,etiquetas_distintas,col8,menus_lista,etiquetas_lista,fecha_primera,fecha_ultima
Q01_25,0,,1514,100,5,6,14,"Desborde_Cabecera, RES-FallasLinea, RES_Cambios, RES_CambioTit","DEFAULT, FM_ROBO_P, QJA_AB_2, QJA_AB_DAT_2, VINNETFLIX",01/01/2025,31/03/2025
Q01_25,6,309004,6,100,1,1,1,RES-SaldosPagos_2024,DEFAULT,18/02/2025,12/03/2025
Q01_25,8,10128025,14,0,1,1,4,RES-ContratacionInfinitum,SUS_COM,10/01/2025,25/03/2025
Q01_25,8,10828081,14,0,1,1,4,RES-FallaInternet,DEFAULT,26/03/2025,26/03/2025
Q01_25,8,10828094,44,0,1,1,3,Desborde_Cabecera,RETARGETING,05/01/2025,31/03/2025
Q01_25,8,10528004,49,0,1,1,7,Desborde_Cabecera,MEGACABLE,31/03/2025,31/03/2025
Q01_25,8,15070036,59,0,1,1,1,Desborde_Cabecera,CLIENTESAPP,07/01/2025,26/03/2025
Q01_25,8,10728493,130,0,1,1,9,RES-SegurosInbursa,DEFAULT,02/01/2025,31/03/2025
Q01_25,8,10828073,144,0,1,1,9,RES-MADT-MVSHUB,DEFAULT,03/01/2025,31/03/2025
Q01_25,8,11228108,153,0,1,1,3,RES-ContratacionInfinitum,LAREDO,02/01/2025,31/03/2025
Q01_25,8,10728494,199,0,1,1,8,RES-DISH,DEFAULT,02/01/2025,31/03/2025
Q01_25,8,14928960,205,0,1,1,10,RES-Falla-MVSHUB,DEFAULT,02/01/2025,31/03/2025
Q01_25,8,19020049,321,0,1,1,3,Desborde_Cabecera,COD_SUSP_7,01/01/2025,31/03/2025
Q01_25,8,11228178,659,0.01,1,1,9,RES-FallaInternet,POT_A_VSI_TDM,01/01/2025,31/03/2025
Q01_25,8,10828022,755,0.01,1,1,15,RES-FallaInternet,ERMITAT,01/01/2025,06/02/2025
Q01_25,8,10428105,998,0.01,1,1,14,Desborde_Cabecera,MEGACABLE,14/01/2025,31/03/2025
Q01_25,8,11128125,1123,0.01,1,1,12,Desborde_Cabecera,RETCOMBO,01/01/2025,31/03/2025
Q01_25,8,19020046,1367,0.01,1,1,15,RES-FallaInternet,SUS_COM,01/01/2025,31/03/2025
Q01_25,8,10928334,1570,0.02,1,1,3,Desborde_Cabecera,ANALAMCAN,01/01/2025,31/03/2025
Q01_25,8,10928336,1727,0.02,1,1,3,Desborde_Cabecera,SABIVALLE,01/01/2025,31/03/2025
Q01_25,8,10928083,1893,0.02,1,1,13,Desborde_Cabecera,CASOSDG,01/01/2025,31/03/2025
Q01_25,8,10928306,2207,0.02,1,1,3,Desborde_Cabecera,ECATEPEC_PORTA,01/01/2025,31/03/2025
Q01_25,8,10928335,2254,0.02,1,1,3,Desborde_Cabecera,BUSTAVILLAL,01/01/2025,31/03/2025
Q01_25,8,10928137,3412,0.04,1,1,16,RES-Falla-AntivirusMcAfee,DEFAULT,01/01/2025,31/03/2025
Q01_25,8,10928124,3533,0.04,1,1,13,Desborde_Cabecera,VINNETFLIX,06/02/2025,31/03/2025
Q01_25,8,10828141,3581,0.04,1,1,3,RES-FallaInternet,ACUNA,01/01/2025,31/03/2025
Q01_25,8,10928031,3783,0.04,1,1,16,Desborde_Cabecera,MIGRAFTTH,01/01/2025,31/03/2025
Q01_25,8,10928311,6611,0.07,1,1,3,Desborde_Cabecera,QJA_ACAPULCO,01/01/2025,31/03/2025
Q01_25,8,10928270,7051,0.07,2,2,15,"Desborde_Cabecera, RES-FallaInternet","CAMBIONT_NC, ONT_ECANCELA",01/01/2025,31/03/2025
Q01_25,8,10628002,7112,0.07,1,1,16,RES_Cambios,DEFAULT,01/01/2025,31/03/2025
Q01_25,8,10928018,7131,0.07,1,1,15,Desborde_Cabecera,INCLUENCER,01/01/2025,31/03/2025
