menu,opcion,total_llamadas
SIN_MENU,SIN_OPCION,152159
cliente_colgo,,422864
Desborde_Cabecera,ADEUDO_1Y2,3849
Desborde_Cabecera,ANALAMCAN,240
Desborde_Cabecera,BLACKLIST,1
Desborde_Cabecera,BUSTAVILLAL,322
Desborde_Cabecera,CASOSDG,310
Desborde_Cabecera,CLIENTESAPP,23
Desborde_Cabecera,COD_SUSP_7,60
Desborde_Cabecera,ECATEPEC,20618
Desborde_Cabecera,ECATEPEC_FM,5156
Desborde_Cabecera,ECATEPEC_PORTA,435
Desborde_Cabecera,ECATEPEC_QJA,10360
Desborde_Cabecera,INCLUENCER,1100
Desborde_Cabecera,MEGACABLE,24
Desborde_Cabecera,MES_1,8130
Desborde_Cabecera,MES_2,1487
Desborde_Cabecera,MIGRAFTTH,788
Desborde_Cabecera,ONT_ECANCELA,738
Desborde_Cabecera,QJA_AB_1,13
Desborde_Cabecera,QJA_AB_2,26685
Desborde_Cabecera,QJA_AB_3,13628
Desborde_Cabecera,QJA_AB_DAT_1,32457
Desborde_Cabecera,QJA_AB_DAT_2,26331
Desborde_Cabecera,QJA_AB_VOZ_1,3033
Desborde_Cabecera,QJA_AB_VOZ_2,666
Desborde_Cabecera,QJA_AB_VSI_1,13031
Desborde_Cabecera,QJA_AB_VSI_2,10347
Desborde_Cabecera,QJA_ACAPULCO,1346
Desborde_Cabecera,RETARGETING,8
Desborde_Cabecera,RETCOMBO,274
Desborde_Cabecera,SABIVALLE,267
Desborde_Cabecera,TELECOBRA,37855
Desborde_Cabecera,TELVICOBRA,33994
Desborde_Promocional,,63070
Marque3,,38764
NOTMX-CONT-Contratacion,DEFAULT,55556
NOTMX-CONT-Portabilidad,DEFAULT,27600
NOTMX-SeguimientoInstalacion,DEFAULT,189606
RES-Aparatos,DEFAULT,1484
RES-AsistenciaTelmexcom,DEFAULT,7321
RES-ClaroDrive,DEFAULT,9
RES-ContratacionInfinitum,2L,550
RES-ContratacionInfinitum,CECOR,11
RES-ContratacionInfinitum,DEFAULT,8639
RES-ContratacionInfinitum,LAREDO,31
RES-ContratacionInfinitum,PQ_389,191
RES-ContratacionInfinitum,SUS_COM,1
RES-ContratacionInfinitum_2024,DEFAULT,10935
RES-DISH,DEFAULT,34
RES-Entr,2L,364
RES-Entr,DEFAULT,18337
RES-Entr,NOBOT,1470
RES-Falla-AntivirusMcAfee,DEFAULT,662
RES-Falla-Dish,DEFAULT,298
RES-Falla-MVSHUB,DEFAULT,39
RES-FallaEntretiene,DEFAULT,14012
RES-FallaEntretiene,NOBOT,4193
RES-FallaInternet,ACUNA,598
RES-FallaInternet,ADEUDO22222,5181
RES-FallaInternet,CASE_41,816
RES-FallaInternet,CECOR,4343
RES-FallaInternet,DEFAULT,213601
RES-FallaInternet,DG,10
RES-FallaInternet,ECATEPEC,300
RES-FallaInternet,ERMITAT,340
RES-FallaInternet,FALLA_AMBAS_P,1299
RES-FallaInternet,FALLA_CENTRAL_P,578
RES-FallaInternet,FM,2
RES-FallaInternet,FM_CFE_P,1761
RES-FallaInternet,FM_ROBO_P,1731
RES-FallaInternet,NOBOT,19075
RES-FallaInternet,POSIBLE_FALLA_DSLAM_P,17348
RES-FallaInternet,POT_A_VSI_TDM,117
RES-FallaInternet,SUS_COM,171
RES-FallaInternet_2024,DEFAULT,11564
RES-FallaInternet_2024,FALLA_AMBAS_P,90
RES-FallaInternet_2024,FALLA_CENTRAL_P,5
RES-FallaInternet_2024,FM_CFE_P,188
RES-FallaSegQja,DEFAULT,19868
RES-FallaSegQja,QJA_AB_DAT_1,148
RES-FallaSegQja,QJA_AB_DAT_2,128
RES-FallaSegQja,QJA_AB_VOZ_1,4
RES-FallaSegQja,QJA_AB_VOZ_2,389
RES-FallaSegQja,QJA_AB_VSI_1,118
RES-FallaSegQja,QJA_AB_VSI_2,57
RES-FallasLinea,CASE_41,444
RES-FallasLinea,CECOR,1357
RES-FallasLinea,DEFAULT,52103
RES-FallasLinea,FM,9
RES-FallasLinea,FM_CFE_P,362
RES-FallasLinea,FM_NATURAL_P,72
RES-FallasLinea,FM_ROBO_P,925
RES-FallasLinea,ML,1521
RES-Fallas_2024,DEFAULT,5201
RES-Fallas_2024,FALLA_AMBAS_P,328
RES-Fallas_2024,FALLA_CENTRAL_P,1
RES-Fallas_2024,FM_CFE_P,215
RES-Fallas_2024,VSI,6042
RES-MADT-Detalle,2L,4931
RES-MADT-Detalle,CECOR,133
RES-MADT-Detalle,DEFAULT,78548
RES-MADT-Detalle,PQ_389,2065
RES-MADT-MVSHUB,DEFAULT,28
RES-SaldooPagos,DEFAULT,82753
RES-Saldos-WT,DEFAULT,17118
RES-SaldosPagos_2024,DEFAULT,7100
RES-SegInst_2024,DEFAULT,968
RES-SegurosInbursa,CECOR,1
RES-SegurosInbursa,DEFAULT,23
RES-StartGo,DEFAULT,25
RES-TAE,DEFAULT,53
RES_CambioDom,2L,1120
RES_CambioDom,CECOR,173
RES_CambioDom,DEFAULT,14854
RES_Cambios,2L,115
RES_Cambios,CECOR,12
RES_Cambios,DEFAULT,1473
RES_CambioTit,2L,125
RES_CambioTit,CECOR,22
RES_CambioTit,DEFAULT,1361
RES_OcultaVta,DEFAULT,60
RES_Otros,2L,984
RES_Otros,CECOR,120
RES_Otros,DEFAULT,13040
SinOpcion_Cabecera,,61688
