menu,opcion_mas_frecuente,total_llamadas_menu
SIN_MENU,SIN_OPCION,152159
cliente_colgo,SIN_OPCION,422864
Desborde_Cabecera,ECATEPEC_QJA,253576
Desborde_Promocional,SIN_OPCION,63070
Marque3,SIN_OPCION,38764
NOTMX-CONT-Contratacion,DEFAULT,55556
NOTMX-CONT-Portabilidad,DEFAULT,27600
NOTMX-SeguimientoInstalacion,DEFAULT,189606
RES-Aparatos,DEFAULT,1484
RES-AsistenciaTelmexcom,DEFAULT,7321
RES-ClaroDrive,DEFAULT,9
RES-ContratacionInfinitum,DEFAULT,9423
RES-ContratacionInfinitum_2024,DEFAULT,10935
RES-DISH,DEFAULT,34
RES-Entr,DEFAULT,20171
RES-Falla-AntivirusMcAfee,DEFAULT,662
RES-Falla-Dish,DEFAULT,298
RES-Falla-MVSHUB,DEFAULT,39
RES-FallaEntretiene,DEFAULT,18205
RES-FallaInternet,POSIBLE_FALLA_DSLAM_P,267271
RES-FallaInternet_2024,DEFAULT,11847
RES-FallaSegQja,DEFAULT,20712
RES-FallasLinea,DEFAULT,56793
RES-Fallas_2024,VSI,11787
RES-MADT-Detalle,PQ_389,85677
RES-MADT-MVSHUB,DEFAULT,28
RES-SaldooPagos,DEFAULT,82753
RES-Saldos-WT,DEFAULT,17118
RES-SaldosPagos_2024,DEFAULT,7100
RES-SegInst_2024,DEFAULT,968
RES-SegurosInbursa,DEFAULT,24
RES-StartGo,DEFAULT,25
RES-TAE,DEFAULT,53
RES_CambioDom,DEFAULT,16147
RES_Cambios,DEFAULT,1600
RES_CambioTit,DEFAULT,1508
RES_OcultaVta,DEFAULT,60
RES_Otros,DEFAULT,14144
SinOpcion_Cabecera,SIN_OPCION,61688
